reading_id,machine_id,sensor_type,value,unit,recorded_at
SR-P-101-000-vibration_rms,P-101,vibration_rms,3.11,mm/s RMS,2026-07-23T10:00:00Z
SR-P-101-000-bearing_temperature,P-101,bearing_temperature,66.37,°C,2026-07-23T10:00:00Z
SR-P-101-000-motor_current,P-101,motor_current,23.12,A,2026-07-23T10:00:00Z
SR-P-101-000-suction_pressure,P-101,suction_pressure,1.83,bar,2026-07-23T10:00:00Z
SR-P-101-000-discharge_pressure,P-101,discharge_pressure,5.58,bar,2026-07-23T10:00:00Z
SR-P-101-000-flow_rate,P-101,flow_rate,114.43,m³/h,2026-07-23T10:00:00Z
SR-P-101-000-rotational_speed,P-101,rotational_speed,1481.23,rpm,2026-07-23T10:00:00Z
SR-P-101-001-vibration_rms,P-101,vibration_rms,2.88,mm/s RMS,2026-07-23T10:05:00Z
SR-P-101-001-bearing_temperature,P-101,bearing_temperature,65.67,°C,2026-07-23T10:05:00Z
SR-P-101-001-motor_current,P-101,motor_current,23.2,A,2026-07-23T10:05:00Z
SR-P-101-001-suction_pressure,P-101,suction_pressure,1.83,bar,2026-07-23T10:05:00Z
SR-P-101-001-discharge_pressure,P-101,discharge_pressure,5.62,bar,2026-07-23T10:05:00Z
SR-P-101-001-flow_rate,P-101,flow_rate,113.66,m³/h,2026-07-23T10:05:00Z
SR-P-101-001-rotational_speed,P-101,rotational_speed,1480.58,rpm,2026-07-23T10:05:00Z
SR-P-101-002-vibration_rms,P-101,vibration_rms,3.09,mm/s RMS,2026-07-23T10:10:00Z
SR-P-101-002-bearing_temperature,P-101,bearing_temperature,66.08,°C,2026-07-23T10:10:00Z
SR-P-101-002-motor_current,P-101,motor_current,22.95,A,2026-07-23T10:10:00Z
SR-P-101-002-suction_pressure,P-101,suction_pressure,1.84,bar,2026-07-23T10:10:00Z
SR-P-101-002-discharge_pressure,P-101,discharge_pressure,5.61,bar,2026-07-23T10:10:00Z
SR-P-101-002-flow_rate,P-101,flow_rate,114.26,m³/h,2026-07-23T10:10:00Z
SR-P-101-002-rotational_speed,P-101,rotational_speed,1479.64,rpm,2026-07-23T10:10:00Z
SR-P-101-003-vibration_rms,P-101,vibration_rms,2.99,mm/s RMS,2026-07-23T10:15:00Z
SR-P-101-003-bearing_temperature,P-101,bearing_temperature,66.04,°C,2026-07-23T10:15:00Z
SR-P-101-003-motor_current,P-101,motor_current,22.88,A,2026-07-23T10:15:00Z
SR-P-101-003-suction_pressure,P-101,suction_pressure,1.83,bar,2026-07-23T10:15:00Z
SR-P-101-003-discharge_pressure,P-101,discharge_pressure,5.61,bar,2026-07-23T10:15:00Z
SR-P-101-003-flow_rate,P-101,flow_rate,113.2,m³/h,2026-07-23T10:15:00Z
SR-P-101-003-rotational_speed,P-101,rotational_speed,1480.39,rpm,2026-07-23T10:15:00Z
SR-P-101-004-vibration_rms,P-101,vibration_rms,3.07,mm/s RMS,2026-07-23T10:20:00Z
SR-P-101-004-bearing_temperature,P-101,bearing_temperature,66.33,°C,2026-07-23T10:20:00Z
SR-P-101-004-motor_current,P-101,motor_current,22.88,A,2026-07-23T10:20:00Z
SR-P-101-004-suction_pressure,P-101,suction_pressure,1.84,bar,2026-07-23T10:20:00Z
SR-P-101-004-discharge_pressure,P-101,discharge_pressure,5.64,bar,2026-07-23T10:20:00Z
SR-P-101-004-flow_rate,P-101,flow_rate,113.7,m³/h,2026-07-23T10:20:00Z
SR-P-101-004-rotational_speed,P-101,rotational_speed,1481.97,rpm,2026-07-23T10:20:00Z
SR-P-101-005-vibration_rms,P-101,vibration_rms,2.93,mm/s RMS,2026-07-23T10:25:00Z
SR-P-101-005-bearing_temperature,P-101,bearing_temperature,66.34,°C,2026-07-23T10:25:00Z
SR-P-101-005-motor_current,P-101,motor_current,22.77,A,2026-07-23T10:25:00Z
SR-P-101-005-suction_pressure,P-101,suction_pressure,1.86,bar,2026-07-23T10:25:00Z
SR-P-101-005-discharge_pressure,P-101,discharge_pressure,5.63,bar,2026-07-23T10:25:00Z
SR-P-101-005-flow_rate,P-101,flow_rate,114.1,m³/h,2026-07-23T10:25:00Z
SR-P-101-005-rotational_speed,P-101,rotational_speed,1480.53,rpm,2026-07-23T10:25:00Z
SR-P-101-006-vibration_rms,P-101,vibration_rms,3.1,mm/s RMS,2026-07-23T10:30:00Z
SR-P-101-006-bearing_temperature,P-101,bearing_temperature,66.5,°C,2026-07-23T10:30:00Z
SR-P-101-006-motor_current,P-101,motor_current,22.84,A,2026-07-23T10:30:00Z
SR-P-101-006-suction_pressure,P-101,suction_pressure,1.85,bar,2026-07-23T10:30:00Z
SR-P-101-006-discharge_pressure,P-101,discharge_pressure,5.55,bar,2026-07-23T10:30:00Z
SR-P-101-006-flow_rate,P-101,flow_rate,113.76,m³/h,2026-07-23T10:30:00Z
SR-P-101-006-rotational_speed,P-101,rotational_speed,1478.58,rpm,2026-07-23T10:30:00Z
SR-P-101-007-vibration_rms,P-101,vibration_rms,2.92,mm/s RMS,2026-07-23T10:35:00Z
SR-P-101-007-bearing_temperature,P-101,bearing_temperature,66.12,°C,2026-07-23T10:35:00Z
SR-P-101-007-motor_current,P-101,motor_current,22.79,A,2026-07-23T10:35:00Z
SR-P-101-007-suction_pressure,P-101,suction_pressure,1.83,bar,2026-07-23T10:35:00Z
SR-P-101-007-discharge_pressure,P-101,discharge_pressure,5.55,bar,2026-07-23T10:35:00Z
